scientific_name,url,error
Sphagnum affine,https://gobotany.nativeplanttrust.org/species/sphagnum/affine/,HTTP 404
Osmunda spectabilis,https://gobotany.nativeplanttrust.org/species/osmunda/spectabilis/,HTTP 404
Iris sanguinea,https://gobotany.nativeplanttrust.org/species/iris/sanguinea/,HTTP 404
Persicaria extremiorientalis,https://gobotany.nativeplanttrust.org/species/persicaria/extremiorientalis/,HTTP 404
Rhus typhina,https://gobotany.nativeplanttrust.org/species/rhus/typhina/,HTTP 404
Sphagnum fimbriatum,https://gobotany.nativeplanttrust.org/species/sphagnum/fimbriatum/,HTTP 404
Hepatica americana,https://gobotany.nativeplanttrust.org/species/hepatica/americana/,HTTP 404
Viola fimbriatula,https://gobotany.nativeplanttrust.org/species/viola/fimbriatula/,HTTP 404
Polytrichum commune,https://gobotany.nativeplanttrust.org/species/polytrichum/commune/,HTTP 404
Dichanthelium lanuginosum,https://gobotany.nativeplanttrust.org/species/dichanthelium/lanuginosum/,HTTP 404
Atrichum angustatum,https://gobotany.nativeplanttrust.org/species/atrichum/angustatum/,HTTP 404
Pilosella piloselloides,https://gobotany.nativeplanttrust.org/species/pilosella/piloselloides/,HTTP 404
Allium cernuum,https://gobotany.nativeplanttrust.org/species/allium/cernuum/,HTTP 404
Callicladium haldaneanum,https://gobotany.nativeplanttrust.org/species/callicladium/haldaneanum/,HTTP 404
Marchantia polymorpha polymorpha,https://gobotany.nativeplanttrust.org/species/marchantia/polymorpha/,HTTP 404
Salvia × sylvestris,https://gobotany.nativeplanttrust.org/species/salvia/×/,HTTP 404
Tetraphis pellucida,https://gobotany.nativeplanttrust.org/species/tetraphis/pellucida/,HTTP 404
Lophocolea heterophylla,https://gobotany.nativeplanttrust.org/species/lophocolea/heterophylla/,HTTP 404
Aesculus pavia,https://gobotany.nativeplanttrust.org/species/aesculus/pavia/,HTTP 404
