newcomb_species_name,species_inat,subspecies_inat,suggested_species_id,species_page,key_page_range_start,key_page_range_end,key_group_number,key_flower_type,key_plant_type,key_leaf_type,key_subgroup_1,key_subgroup_2,key_subgroup_3,key_description,species_inat_link,subspecies_inat_link,warning_species_extraction,warning_key_extraction
Aster novae-angliae,Symphyotrichum novae-angliae,,Symphyotrichum novae-angliae,460.0,454,463.0,000,Asters (Aster),,,,,,,https://www.inaturalist.org/taxa/117443,,0.0,
Aster novi-belgii,Symphyotrichum novi-belgii,var. elodes,var. elodes,460.0,454,463.0,000,Asters (Aster),,,,,,,,https://www.inaturalist.org/taxa/243161-Symphyotrichum-novi-belgii-elodes,0.0,
Aster novi-belgii,Symphyotrichum novi-belgii,var. novi-belgii,var. elodes,460.0,454,463.0,000,Asters (Aster),,,,,,,,https://www.inaturalist.org/taxa/243162-Symphyotrichum-novi-belgii-novi-belgii,0.0,
Aster novi-belgii,Symphyotrichum novi-belgii,var. villicaule,var. patens,460.0,454,463.0,000,Asters (Aster),,,,,,,,https://www.inaturalist.org/taxa/243163-Symphyotrichum-novi-belgii-villicaule,0.0,
Aster novi-belgii,Symphyotrichum patens,var. patens,var. patens,460.0,454,463.0,000,Asters (Aster),,,,,,,https://www.inaturalist.org/taxa/130810,https://www.inaturalist.org/taxa/243167-Symphyotrichum-patens-patens,0.0,
Aster novi-belgii,Symphyotrichum phlogifolium,,Symphyotrichum phlogifolium,460.0,454,463.0,000,Asters (Aster),,,,,,,https://www.inaturalist.org/taxa/169477,https://www.inaturalist.org/taxa/169477-Symphyotrichum-phlogifolium,0.0,
Aster pilosus,Symphyotrichum pilosum,var. pilosus,var. pilosus,458.0,454,463.0,000,Asters (Aster),,,,,,,,,0.0,
Aster pilosus,Symphyotrichum pilosum,var. pilosus,var. pilosus,458.0,454,463.0,000,Asters (Aster),,,,,,,https://www.inaturalist.org/taxa/142279,,0.0,
Aster prenanthoides,Symphyotrichum prenanthoides,,Symphyotrichum prenanthoides,456.0,454,463.0,000,Asters (Aster),,,,,,,https://www.inaturalist.org/taxa/146705,,0.0,
Aster ptarmicoides,Solidago ptarmicoides,,Solidago ptarmicoides,458.0,454,463.0,000,Asters (Aster),,,,,,,https://www.inaturalist.org/taxa/144194,,0.0,
Aster puniceus,Symphyotrichum puniceum,var. puniceum,var. puniceum,456.0,454,463.0,000,Asters (Aster),,,,,,,https://uwaterloo.ca/astereae-lab/symphyotrichum-firmum,,0.0,
Aster puniceus,Symphyotrichum puniceum,var. puniceum,var. puniceum,456.0,454,463.0,000,Asters (Aster),,,,,,,https://www.inaturalist.org/taxa/82307,,0.0,
Aster puniceus,Symphyotrichum puniceum,var. puniceum,Symphyotrichum firmum,456.0,454,463.0,000,Asters (Aster),,,,,,,https://www.inaturalist.org/taxa/319564,,0.0,
Aster radula,Eurybia radula,,Eurybia radula,456.0,454,463.0,000,Asters (Aster),,,,,,,https://www.inaturalist.org/taxa/153201,,0.0,
Aster sagittifolius,Symphyotrichum urophyllum,,Symphyotrichum urophyllum,454.0,454,463.0,000,Asters (Aster),,,,,,,https://www.inaturalist.org/taxa/169492,,0.0,
Aster schreberi,Eurybia schreberi,,Eurybia schreberi,454.0,454,463.0,000,Asters (Aster),,,,,,,https://www.inaturalist.org/taxa/143889,,0.0,
Aster shortii,Symphyotrichum shortii,,Symphyotrichum shortii,454.0,454,463.0,000,Asters (Aster),,,,,,,https://www.inaturalist.org/taxa/169487,,0.0,
Aster simplex,Symphyotrichum lanceolatum,var. latifolium,,456.0,454,463.0,000,Asters (Aster),,,,,,,https://www.inaturalist.org/taxa/79301,https://www.inaturalist.org/taxa/238759-Symphyotrichum-lanceolatum-lanceolatum,,
Aster simplex,Symphyotrichum lanceolatum,var. lanceolatum,var. latifolium,456.0,454,463.0,000,Asters (Aster),,,,,,,https://www.inaturalist.org/taxa/79301,https://www.inaturalist.org/taxa/153202-Symphyotrichum-lanceolatum-latifolium,0.0,
Aster spectabilis,Eurybia spectabilis,,Eurybia spectabilis,462.0,454,463.0,000,Asters (Aster),,,,,,,https://www.inaturalist.org/taxa/162891,,0.0,
Aster subulatus,Symphyotrichum subulatum,var.subulatum,Symphyotrichum subulatum,458.0,454,463.0,000,Asters (Aster),,,,,,,https://www.inaturalist.org/taxa/64208,https://www.inaturalist.org/taxa/200028,0.0,
Aster tenuifolius,Symphyotrichum tenuifolium,var.tenuifolium,Symphyotrichum tenuifolium,460.0,454,463.0,000,Asters (Aster),,,,,,,https://www.inaturalist.org/taxa/145483,https://www.inaturalist.org/taxa/856656,0.0,
Aster umbellatus,Doellingeria umbellata,,var. umbellata,462.0,454,463.0,000,Asters (Aster),,,,,,,https://www.inaturalist.org/taxa/120179,,0.0,
